page,method,threshold,k,rel_mse
2,method_2,0.58,10,0.19484804570674896
2,method_2,0.59,11,0.1804833710193634
2,method_2,0.6,11,0.1804833710193634
2,method_2,0.61,12,0.17273035645484924
2,method_2,0.62,12,0.17273035645484924
2,method_2,0.63,13,0.1784415990114212
2,method_2,0.64,13,0.1784415990114212
2,method_2,0.65,14,0.17077627778053284
2,method_2,0.66,15,0.16193655133247375
2,method_2,0.67,15,0.16193655133247375
2,method_2,0.6799999999999999,16,0.1445121318101883
2,method_2,0.69,17,0.14169293642044067
2,method_2,0.7,18,0.13971064984798431
2,method_2,0.71,19,0.13612358272075653
2,method_2,0.72,19,0.13612358272075653
2,method_2,0.73,20,0.12606263160705566
2,method_2,0.74,21,0.12633854150772095
2,method_2,0.75,22,0.12222489714622498
2,method_2,0.76,24,0.11781655997037888
2,method_2,0.77,25,0.11805121600627899
2,method_2,0.78,26,0.1133982390165329
2,method_2,0.79,27,0.1104084700345993
2,method_2,0.8,29,0.103365458548069
2,method_2,0.81,30,0.0977657362818718
2,method_2,0.8200000000000001,32,0.0941377505660057
2,method_2,0.8300000000000001,34,0.08876967430114746
2,method_2,0.8400000000000001,35,0.08923383802175522
2,method_2,0.8500000000000001,37,0.09035057574510574
2,method_2,0.86,39,0.0829155445098877
2,method_2,0.87,42,0.07623593509197235
2,method_2,0.88,44,0.07309537380933762
2,method_2,0.89,46,0.071438729763031
2,method_2,0.9,49,0.06749612838029861
2,method_2,0.91,52,0.06149190664291382
2,method_2,0.9199999999999999,56,0.05214396491646767
2,method_2,0.9299999999999999,59,0.0481378510594368
2,method_2,0.94,64,0.04036663472652435
2,method_2,0.95,69,0.029994072392582893
2,method_2,0.96,74,0.02638702653348446
2,method_2,0.97,81,0.01884518377482891
2,method_2,0.98,90,0.012195671908557415
2,method_2,0.99,103,0.0061382511630654335
2,method_3,0.5,2,0.33631035685539246
2,method_3,0.51,2,0.33631035685539246
2,method_3,0.52,3,0.27617108821868896
2,method_3,0.53,3,0.27617108821868896
2,method_3,0.54,3,0.27617108821868896
2,method_3,0.55,4,0.26239460706710815
2,method_3,0.56,4,0.26239460706710815
2,method_3,0.5700000000000001,4,0.26239460706710815
2,method_3,0.58,5,0.23210212588310242
2,method_3,0.59,5,0.23210212588310242
2,method_3,0.6,5,0.23210212588310242
2,method_3,0.61,6,0.21773169934749603
2,method_3,0.62,6,0.21773169934749603
2,method_3,0.63,7,0.21246089041233063
2,method_3,0.64,7,0.21246089041233063
2,method_3,0.65,8,0.21443435549736023
2,method_3,0.66,8,0.21443435549736023
2,method_3,0.67,9,0.21564461290836334
2,method_3,0.6799999999999999,10,0.17744365334510803
2,method_3,0.69,11,0.1728912740945816
2,method_3,0.7,11,0.1728912740945816
2,method_3,0.71,12,0.15921612083911896
2,method_3,0.72,13,0.15955321490764618
2,method_3,0.73,14,0.15657547116279602
2,method_3,0.74,15,0.1481083780527115
2,method_3,0.75,16,0.1323578655719757
2,method_3,0.76,17,0.1291533261537552
2,method_3,0.77,18,0.12659206986427307
2,method_3,0.78,20,0.12261325120925903
2,method_3,0.79,21,0.1222279965877533
2,method_3,0.8,22,0.11833707988262177
2,method_3,0.81,24,0.11675779521465302
2,method_3,0.8200000000000001,25,0.11486002802848816
2,method_3,0.8300000000000001,27,0.11079808324575424
2,method_3,0.8400000000000001,29,0.10501238703727722
2,method_3,0.8500000000000001,30,0.10538734495639801
2,method_3,0.86,32,0.09999845921993256
2,method_3,0.87,34,0.09634058177471161
2,method_3,0.88,37,0.09961652755737305
2,method_3,0.89,39,0.09637186676263809
2,method_3,0.9,42,0.08820938318967819
2,method_3,0.91,44,0.08463317900896072
2,method_3,0.9199999999999999,48,0.08223148435354233
2,method_3,0.9299999999999999,51,0.07691990584135056
2,method_3,0.94,55,0.06586630642414093
2,method_3,0.95,60,0.05696268007159233
2,method_3,0.96,66,0.050146009773015976
2,method_3,0.97,73,0.04294632002711296
2,method_3,0.98,83,0.03478625789284706
2,method_3,0.99,97,0.026788702234625816
2,method_4,0.5,7,0.17148509621620178
2,method_4,0.51,7,0.17148509621620178
2,method_4,0.52,8,0.16711564362049103
2,method_4,0.53,8,0.16711564362049103
2,method_4,0.54,8,0.16711564362049103
2,method_4,0.55,9,0.14115554094314575
2,method_4,0.56,9,0.14115554094314575
2,method_4,0.5700000000000001,10,0.12844422459602356
2,method_4,0.58,10,0.12844422459602356
